"SAMPLE","TREAT","SEDTYP","NiTREAT","pHTREAT","DAY","HOURS","pH","Ni","Fe","TOTAl","TOTFe","TOTMn","TOTNi","ASCNi","ASCAl","ASCFe","ASCMn","DITNi","DITAl","DITFe","DITMn","CrysFe","CrysNi","PAmFe","PAmNi","PCrysFe","PCrysNi","POxidMn","LOI","Km","Dry.mass","Niadd","Nisorb"
"Tinkers-Ni10-pH7-d7-Buffer","BUF","TK","2","7",7,169.4,7,2002.06,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,-0.2
"Tinkers-Ni25-pH7-d7-Buffer","BUF","TK","5","7",7,169.4,6.99,4965.92,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,-0.8
"Tinkers-Ni2-pH9-d7-Buffer","BUF","TK","0.5","9",7,169.4,9.74,711.3,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,-0.6
"Tinkers-Ni10-pH9-d7-Buffer","BUF","TK","2","9",7,169.4,9.67,466.41,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,3.1
"Tinkers-Ni25-pH9-d7-Buffer","BUF","TK","5","9",7,169.4,9.67,460.9,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,9.1
"Tinkers-Ni2-pH5-d14-Buffer","BUF","TK","0.5","5",14,336.9,5.08,600.2,-0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,-0.4
"Tinkers-Ni10-pH5-d14-Buffer","BUF","TK","2","5",14,336.9,5.38,7675.4,-0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,-12.7
"Tinkers-Ni25-pH5-d14-Buffer","BUF","TK","5","5",14,336.9,5.33,NA,-0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,-27.3
"Tinkers-Ni2-pH7-d14-Buffer","BUF","TK","0.5","7",14,336.9,6.98,510.26,-0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,-0.2
"Tinkers-Ni10-pH7-d14-Buffer","BUF","TK","2","7",14,336.9,6.93,4042.47,-0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,-4.7
"Tinkers-Ni25-pH7-d14-Buffer","BUF","TK","5","7",14,336.9,6.99,6255.06,-0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,-3.7
"Tinkers-Ni2-pH9-d14-Buffer","BUF","TK","0.5","9",14,336.9,9.93,220.79,-0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,0.5
"Tinkers-Ni10-pH9-d14-Buffer","BUF","TK","2","9",14,336.9,9.95,521.19,-0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,3
"Tinkers-Ni25-pH9-d14-Buffer","BUF","TK","5","9",14,336.9,9.8,1317.88,-0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,7.2
"Tinkers-Ni2-pH5-d28-Buffer","BUF","TK","0.5","5",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,NA
